"订单号","创建时间","订单类型","课程ID/套餐ID","产品类型","课程名称/套餐名称","购课用户uid","支付成功时间","用户支付金额","订单状态","退款发起时间","退款完成时间"
"20241223131200210	","2024-12-23 13:12:57	","课程	","32424	","课程	","《C++ 零基础可视化》	","3*****6	","2024-12-23 12:13:14	","228.00	","支付成功	","	","	"
"20241223114932814	","2024-12-23 11:49:38	","课程	","32424	","课程	","《C++ 零基础可视化》	","2*****5	","2024-12-23 01:50:08	","228.00	","支付成功	","	","	"
